fecha_contacto,cliente,forma_pago,ubicacion,m2_referencia,tipologia,sistema_constructivo,tipo_entrega,revestimiento,estado_lead,distancia_km,precio_cotizado
2025-07-20,Lucia Lopez,PLAN 36-60,SANTIAGO DEL ESTERO,53.5,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,436.0,18655000.0
2024-08-31,Maria Garcia,CONTADO,MENDIOLAZA,55.3,CABAÑA,S.F,OBRA GRIS,LADRILLO,POTABLE,37.0,19481000.0
2025-05-19,Maria Garcia,CONTADO,LA PLATA,65.8,AMERICANA,S.F,OBRA GRIS,LADRILLO,POTABLE,731.0,23508000.0
2024-05-10,Ana Martinez,CONTADO,BUENOS AIRES,54.2,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,741.0,18476000.0
2025-04-29,Maria Rodriguez,PLAN 36-60,CARLOS PAZ,95.4,CABAÑA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,35.0,47585000.0
2025-10-08,Juan Martinez,CONTADO,SANTIAGO DEL ESTERO,59.3,MINIMALISTA,W.F,OBRA GRIS,MADERA,POTABLE,401.0,20439000.0
2024-01-21,Jorge Martinez,PLAN 36-60,MENDIOLAZA,76.1,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,33.0,20643000.0
2024-06-15,Jorge Martinez,NO SABE,SANTIAGO DEL ESTERO,40.5,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,473.0,21363000.0
2024-09-30,Jorge Sanchez,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,57.4,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,435.0,22899000.0
2025-01-22,Carla Garcia,FINANCIACION PROPIA,LA PLATA,86.0,AMERICANA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,785.0,36089000.0
2025-08-23,Elena Gonzalez,PLAN 36-60,BUENOS AIRES,50.2,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,704.0,20760000.0
2024-11-11,Carla Garcia,CONTADO,BUENOS AIRES,58.8,CABAÑA,S.F,OBRA GRIS,,NO LE INTERESA,677.0,22378000.0
2024-01-14,Maria Perez,CONTADO,LA PLATA,74.6,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,POTABLE,719.0,22324000.0
2024-08-29,Maria Martinez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,40.2,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,23.0,19750000.0
2026-02-15,Lucia Gonzalez,PLAN 36-60,LA PLATA,20.0,CABAÑA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,749.0,8795000.0
2024-12-11,Diego Lopez,PLAN 36-60,LA PLATA,60.1,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,VENDIDO,801.0,23279000.0
2025-07-18,Jorge Sanchez,CONTADO,ALTA GRACIA,74.8,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,49.0,37831000.0
2024-12-05,Juan Rodriguez,PLAN 36-60,SANTIAGO DEL ESTERO,28.0,AMERICANA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,435.0,14202000.0
2024-04-01,Carla Sanchez,CONTADO,LA PLATA,68.4,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,745.0,19594000.0
2025-01-01,Pedro Garcia,CONTADO,SANTIAGO DEL ESTERO,68.5,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,413.0,35140000.0
2025-03-30,Diego Perez,CONTADO,SANTIAGO DEL ESTERO,20.0,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,459.0,6597000.0
2025-03-03,Carla Gonzalez,PLAN 36-60,ALTA GRACIA,36.3,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,50.0,16076000.0
2025-05-23,Carla Garcia,CONTADO,SANTIAGO DEL ESTERO,47.1,CABAÑA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,480.0,14486000.0
2026-02-14,Luis Rodriguez,CONTADO,MENDIOLAZA,51.4,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,25.0,19430000.0
2024-02-04,Pedro Sanchez,FINANCIACION PROPIA,LA PLATA,40.1,AMERICANA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,739.0,15828000.0
2024-07-24,Elena Lopez,PLAN 36-60,SANTIAGO DEL ESTERO,39.1,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,410.0,11847000.0
2024-03-21,Luis Sanchez,PLAN 36-60,CÓRDOBA CAPITAL,88.4,AMERICANA,W.F,LLAVE EN MANO,LADRILLO,POTABLE,12.0,39257000.0
2025-07-15,Pedro Gonzalez,PLAN 36-60,CÓRDOBA CAPITAL,52.8,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,16.0,25390000.0
2025-01-22,Elena Rodriguez,NO SABE,ALTA GRACIA,41.1,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,59.0,16432000.0
2024-01-02,Carla Romero,CONTADO,MENDIOLAZA,54.2,CABAÑA,E.E,LLAVE EN MANO,MADERA,POTABLE,36.0,21500000.0
2025-01-24,Ana Garcia,CONTADO,BUENOS AIRES,65.7,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,738.0,34695000.0
2025-07-19,Lucia Sanchez,PLAN 36-60,BUENOS AIRES,56.0,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,693.0,21189000.0
2024-04-15,Diego Lopez,CONTADO,LA PLATA,50.9,AMERICANA,E.E,OBRA GRIS,MADERA,POTABLE,724.0,15400000.0
2026-02-10,Carla Gonzalez,PLAN 36-60,ALTA GRACIA,42.0,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,VENDIDO,41.0,12327000.0
2025-04-21,Luis Garcia,PLAN 36-60,CÓRDOBA CAPITAL,41.8,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,POTABLE,11.0,14782000.0
2025-12-03,Pedro Gonzalez,NO SABE,MENDIOLAZA,43.0,AMERICANA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,35.0,21861000.0
2025-02-05,Juan Martinez,FINANCIACION PROPIA,LA PLATA,61.8,AMERICANA,W.F,OBRA GRIS,MADERA,VENDIDO,744.0,21732000.0
2025-12-30,Elena Lopez,NO SABE,SANTIAGO DEL ESTERO,35.1,MINIMALISTA,W.F,OBRA GRIS,MADERA,VENDIDO,486.0,12536000.0
2025-07-09,Ana Garcia,CONTADO,LA PLATA,62.9,CABAÑA,W.F,OBRA GRIS,LADRILLO,POTABLE,809.0,20539000.0
2024-06-10,Pedro Martinez,FINANCIACION PROPIA,CARLOS PAZ,83.3,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,39.0,41218000.0
2024-07-20,Carla Perez,CONTADO,LA PLATA,,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,781.0,31208000.0
2024-09-26,Diego Garcia,PLAN 36-60,SANTIAGO DEL ESTERO,47.6,CABAÑA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,466.0,17343000.0
2024-09-27,Diego Perez,FINANCIACION PROPIA,CARLOS PAZ,29.0,MINIMALISTA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,35.0,11375000.0
2025-03-31,Juan Romero,CONTADO,BUENOS AIRES,86.6,AMERICANA,S.F,OBRA GRIS,MADERA,POTABLE,752.0,32499000.0
2025-04-06,Lucia Gonzalez,PLAN 36-60,MENDIOLAZA,31.6,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,25.0,12199000.0
2025-12-27,Jorge Rodriguez,CONTADO,ALTA GRACIA,72.0,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,53.0,35228000.0
2024-09-08,Luis Gonzalez,CONTADO,MENDIOLAZA,67.8,MINIMALISTA,S.F,LLAVE EN MANO,MADERA,POTABLE,29.0,32270000.0
2025-12-02,Maria Martinez,NO SABE,LA PLATA,50.3,AMERICANA,E.E,OBRA GRIS,MADERA,POTABLE,747.0,14827000.0
2024-10-22,Pedro Rodriguez,,BUENOS AIRES,49.7,CABAÑA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,706.0,25820000.0
2025-12-25,Jorge Sanchez,CONTADO,ALTA GRACIA,20.0,CABAÑA,S.F,OBRA GRIS,LADRILLO,POTABLE,57.0,6814000.0
2025-12-20,Juan Lopez,PLAN 36-60,LA PLATA,61.6,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,724.0,30294000.0
2026-01-18,Maria Garcia,FINANCIACION PROPIA,CÓRDOBA CAPITAL,67.4,CABAÑA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,6.0,21773000.0
2024-12-03,Jorge Romero,CONTADO,CÓRDOBA CAPITAL,33.2,AMERICANA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,15.0,11111000.0
2024-02-22,Luis Lopez,CONTADO,SANTIAGO DEL ESTERO,51.9,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,406.0,14576000.0
2024-08-04,Maria Garcia,FINANCIACION PROPIA,BUENOS AIRES,55.8,CABAÑA,E.E,OBRA GRIS,MADERA,POTABLE,729.0,17325000.0
2026-02-02,Diego Gonzalez,CONTADO,BUENOS AIRES,66.7,CABAÑA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,736.0,20465000.0
2024-07-06,Maria Garcia,CONTADO,MENDIOLAZA,55.1,AMERICANA,S.F,OBRA GRIS,MADERA,POTABLE,41.0,19052000.0
2025-01-14,Maria Sanchez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,22.5,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,24.0,8721000.0
2025-05-07,Diego Rodriguez,PLAN 36-60,CARLOS PAZ,44.4,MINIMALISTA,W.F,OBRA GRIS,MADERA,POTABLE,53.0,15004000.0
2024-02-10,Carla Gonzalez,FINANCIACION PROPIA,CARLOS PAZ,59.5,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,49.0,22288000.0
2024-06-05,Pedro Perez,CONTADO,BUENOS AIRES,71.8,CABAÑA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,754.0,26472000.0
2024-01-15,Pedro Lopez,NO SABE,BUENOS AIRES,42.6,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,679.0,14879000.0
2024-03-05,Jorge Martinez,NO SABE,LA PLATA,98.8,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,760.0,41017000.0
2025-06-04,Jorge Romero,CONTADO,BUENOS AIRES,20.0,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,POTABLE,759.0,7921000.0
2024-12-09,Ana Rodriguez,CONTADO,ALTA GRACIA,43.7,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,52.0,16960000.0
2024-05-08,Ana Perez,NO SABE,CARLOS PAZ,53.3,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,52.0,18617000.0
2025-10-09,Carla Gonzalez,PLAN 36-60,LA PLATA,51.0,AMERICANA,W.F,LLAVE EN MANO,LADRILLO,POTABLE,713.0,24472000.0
2025-04-16,Juan Lopez,PLAN 36-60,ALTA GRACIA,30.4,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,57.0,12563000.0
2024-03-03,Luis Perez,PLAN 36-60,BUENOS AIRES,64.0,AMERICANA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,730.0,19758000.0
2024-05-18,Juan Perez,FINANCIACION PROPIA,BUENOS AIRES,62.4,CABAÑA,W.F,LLAVE EN MANO,LADRILLO,POTABLE,677.0,29632000.0
2025-05-13,Jorge Perez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,56.0,AMERICANA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,6.0,26155000.0
2025-08-15,Pedro Rodriguez,CONTADO,LA PLATA,61.6,AMERICANA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,736.0,20071000.0
2025-01-26,Pedro Lopez,CONTADO,ALTA GRACIA,46.5,CABAÑA,W.F,OBRA GRIS,LADRILLO,POTABLE,58.0,14875000.0
2025-11-05,Maria Romero,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,22.7,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,467.0,6713000.0
2025-02-22,Pedro Perez,FINANCIACION PROPIA,BUENOS AIRES,40.7,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,752.0,16531000.0
2024-10-15,Maria Sanchez,PLAN 36-60,MENDIOLAZA,58.1,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,VENDIDO,31.0,23120000.0
2025-01-13,Ana Garcia,NO SABE,MENDIOLAZA,58.3,AMERICANA,S.F,LLAVE EN MANO,MADERA,POTABLE,43.0,29735000.0
2026-02-11,Elena Garcia,FINANCIACION PROPIA,BUENOS AIRES,55.8,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,706.0,19279000.0
2025-05-04,Diego Sanchez,CONTADO,SANTIAGO DEL ESTERO,66.0,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,420.0,19424000.0
2024-08-18,Lucia Lopez,FINANCIACION PROPIA,CARLOS PAZ,43.4,CABAÑA,W.F,LLAVE EN MANO,MADERA,POTABLE,34.0,18839000.0
2024-02-10,Luis Rodriguez,,MENDIOLAZA,55.5,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,45.0,18234000.0
2024-01-28,Elena Romero,,ALTA GRACIA,66.4,AMERICANA,E.E,OBRA GRIS,LADRILLO,POTABLE,43.0,18571000.0
2024-05-14,Diego Gonzalez,CONTADO,BUENOS AIRES,53.3,AMERICANA,W.F,OBRA GRIS,MADERA,POTABLE,676.0,18452000.0
2024-07-19,Lucia Garcia,FINANCIACION PROPIA,BUENOS AIRES,30.1,CABAÑA,W.F,OBRA GRIS,MADERA,POTABLE,661.0,10498000.0
2026-02-18,Diego Rodriguez,NO SABE,BUENOS AIRES,35.8,AMERICANA,W.F,OBRA GRIS,MADERA,POTABLE,689.0,12663000.0
2024-02-02,Elena Gonzalez,CONTADO,SANTIAGO DEL ESTERO,71.6,AMERICANA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,489.0,32760000.0
2024-02-17,Lucia Martinez,CONTADO,CARLOS PAZ,82.8,CABAÑA,W.F,LLAVE EN MANO,LADRILLO,POTABLE,43.0,37610000.0
2025-05-17,Jorge Perez,PLAN 36-60,LA PLATA,78.5,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,773.0,22323000.0
2025-02-10,Elena Rodriguez,FINANCIACION PROPIA,BUENOS AIRES,59.6,AMERICANA,E.E,OBRA GRIS,MADERA,POTABLE,752.0,17630000.0
2025-07-27,Maria Martinez,FINANCIACION PROPIA,LA PLATA,30.9,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,761.0,14882000.0
2025-12-28,Jorge Sanchez,PLAN 36-60,ALTA GRACIA,54.9,AMERICANA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,56.0,25420000.0
2024-04-08,Maria Romero,PLAN 36-60,ALTA GRACIA,86.2,AMERICANA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,43.0,39727000.0
2025-11-14,Diego Garcia,CONTADO,ALTA GRACIA,67.4,CABAÑA,S.F,LLAVE EN MANO,,NO LE INTERESA,59.0,34468000.0
2025-12-26,Lucia Lopez,PLAN 36-60,MENDIOLAZA,50.9,CABAÑA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,22.0,23282000.0
2025-06-30,Juan Rodriguez,CONTADO,ALTA GRACIA,67.6,AMERICANA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,53.0,23299000.0
2026-01-08,Maria Romero,FINANCIACION PROPIA,BUENOS AIRES,29.6,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,726.0,16035000.0
2025-09-04,Ana Perez,CONTADO,SANTIAGO DEL ESTERO,41.1,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,419.0,20761000.0
2025-04-06,Ana Garcia,PLAN 36-60,SANTIAGO DEL ESTERO,33.3,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,439.0,13292000.0
2025-10-04,Ana Perez,CONTADO,CARLOS PAZ,64.4,CABAÑA,S.F,LLAVE EN MANO,MADERA,POTABLE,38.0,32395000.0
2026-02-07,Carla Rodriguez,PLAN 36-60,SANTIAGO DEL ESTERO,69.3,AMERICANA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,409.0,22086000.0
2024-01-05,Elena Garcia,CONTADO,MENDIOLAZA,51.9,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,35.0,16225000.0
2024-08-05,Lucia Martinez,CONTADO,LA PLATA,37.5,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,809.0,16325000.0
2025-05-17,Pedro Sanchez,CONTADO,CARLOS PAZ,54.6,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,44.0,22049000.0
2026-02-05,Carla Lopez,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,45.3,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,455.0,15713000.0
2025-02-01,Maria Sanchez,CONTADO,ALTA GRACIA,,CABAÑA,E.E,LLAVE EN MANO,MADERA,POTABLE,36.0,15063000.0
2025-01-27,Luis Romero,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,61.8,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,VENDIDO,414.0,25757000.0
2024-07-25,Juan Garcia,PLAN 36-60,CÓRDOBA CAPITAL,39.8,AMERICANA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,18.0,14268000.0
2024-01-15,Diego Lopez,PLAN 36-60,CARLOS PAZ,23.7,MINIMALISTA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,55.0,8657000.0
2025-07-07,Ana Gonzalez,PLAN 36-60,BUENOS AIRES,28.1,MINIMALISTA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,748.0,12390000.0
2025-04-05,Carla Lopez,NO SABE,BUENOS AIRES,22.9,AMERICANA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,694.0,11455000.0
2025-11-21,Diego Gonzalez,CONTADO,MENDIOLAZA,60.0,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,34.0,20229000.0
2025-07-28,Carla Garcia,CONTADO,SANTIAGO DEL ESTERO,58.0,AMERICANA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,455.0,19767000.0
2026-01-12,Luis Martinez,NO SABE,SANTIAGO DEL ESTERO,57.0,AMERICANA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,469.0,16981000.0
2024-08-28,Pedro Rodriguez,CONTADO,MENDIOLAZA,66.8,MINIMALISTA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,37.0,29603000.0
2025-07-17,Juan Lopez,FINANCIACION PROPIA,LA PLATA,78.8,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,789.0,37572000.0
2024-04-05,Pedro Sanchez,CONTADO,ALTA GRACIA,43.2,CABAÑA,W.F,LLAVE EN MANO,MADERA,POTABLE,36.0,19627000.0
